date,category,turnover_millions
1984-11-01,"Clothing, footwear and personal accessory retailing",442.9
1984-12-01,"Clothing, footwear and personal accessory retailing",441.2
1985-01-01,"Clothing, footwear and personal accessory retailing",455.0
1985-02-01,"Clothing, footwear and personal accessory retailing",466.5
1985-03-01,"Clothing, footwear and personal accessory retailing",459.6
1985-04-01,"Clothing, footwear and personal accessory retailing",467.3
1985-05-01,"Clothing, footwear and personal accessory retailing",481.0
1985-06-01,"Clothing, footwear and personal accessory retailing",487.8
1985-07-01,"Clothing, footwear and personal accessory retailing",486.0
1985-08-01,"Clothing, footwear and personal accessory retailing",493.5
1985-09-01,"Clothing, footwear and personal accessory retailing",490.0
1985-10-01,"Clothing, footwear and personal accessory retailing",509.2
1985-11-01,"Clothing, footwear and personal accessory retailing",519.3
1985-12-01,"Clothing, footwear and personal accessory retailing",515.4
1986-01-01,"Clothing, footwear and personal accessory retailing",498.5
1986-02-01,"Clothing, footwear and personal accessory retailing",505.6
1986-03-01,"Clothing, footwear and personal accessory retailing",479.8
1986-04-01,"Clothing, footwear and personal accessory retailing",511.1
1986-05-01,"Clothing, footwear and personal accessory retailing",533.9
1986-06-01,"Clothing, footwear and personal accessory retailing",518.0
1986-07-01,"Clothing, footwear and personal accessory retailing",511.9
1986-08-01,"Clothing, footwear and personal accessory retailing",531.1
1986-09-01,"Clothing, footwear and personal accessory retailing",523.0
1986-10-01,"Clothing, footwear and personal accessory retailing",522.2
1986-11-01,"Clothing, footwear and personal accessory retailing",530.1
1986-12-01,"Clothing, footwear and personal accessory retailing",536.1
1987-01-01,"Clothing, footwear and personal accessory retailing",518.6
1987-02-01,"Clothing, footwear and personal accessory retailing",528.3
1987-03-01,"Clothing, footwear and personal accessory retailing",538.4
1987-04-01,"Clothing, footwear and personal accessory retailing",539.4
1987-05-01,"Clothing, footwear and personal accessory retailing",552.5
1987-06-01,"Clothing, footwear and personal accessory retailing",551.3
1987-07-01,"Clothing, footwear and personal accessory retailing",575.0
1987-08-01,"Clothing, footwear and personal accessory retailing",574.8
1987-09-01,"Clothing, footwear and personal accessory retailing",586.0
1987-10-01,"Clothing, footwear and personal accessory retailing",577.4
1987-11-01,"Clothing, footwear and personal accessory retailing",569.1
1987-12-01,"Clothing, footwear and personal accessory retailing",570.7
